loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
24000,24000, 60 months,13.67,554.35,C,C4,10+ years,MORTGAGE,85000.0,Source Verified,Charged Off,credit_card,CO,27.86,0.0,1.0,12.0,0.0,23320,86.4,35.0
7000,7000, 36 months,11.53,230.94,B,B5,5 years,RENT,54980.0,Source Verified,Fully Paid,credit_card,AL,36.02,0.0,0.0,11.0,0.0,4129,51.0,23.0
5000,5000, 36 months,21.45,189.54,D,D5,5 years,RENT,40000.0,Source Verified,Fully Paid,other,NH,5.16,0.0,0.0,2.0,0.0,2359,98.3,4.0
8000,8000, 36 months,7.24,247.9,A,A3,7 years,MORTGAGE,85000.0,Not Verified,Fully Paid,credit_card,TX,17.72,0.0,1.0,13.0,0.0,6293,12.6,35.0
11500,11500, 60 months,19.99,304.62,E,E1,10+ years,MORTGAGE,54000.0,Source Verified,Fully Paid,debt_consolidation,FL,20.07,0.0,1.0,35.0,1.0,12677,23.1,49.0
6000,6000, 36 months,11.49,197.83,B,B5,10+ years,RENT,56000.0,Not Verified,Charged Off,debt_consolidation,CA,34.23,0.0,0.0,10.0,0.0,22391,76.9,23.0
16000,16000, 36 months,5.32,481.84,A,A1,< 1 year,MORTGAGE,87000.0,Source Verified,Charged Off,debt_consolidation,GA,3.85,0.0,0.0,7.0,0.0,14593,26.6,14.0
12000,12000, 36 months,11.86,397.77,B,B5,3 years,RENT,50000.0,Source Verified,Charged Off,debt_consolidation,NJ,21.26,0.0,0.0,11.0,0.0,4941,28.1,20.0
8000,8000, 36 months,11.48,263.74,B,B5,2 years,RENT,27000.0,Source Verified,Fully Paid,credit_card,AZ,21.16,0.0,0.0,16.0,0.0,5237,100.7,16.0
6000,6000, 36 months,9.49,192.17,B,B2,1 year,RENT,45000.0,Source Verified,Fully Paid,other,CT,17.44,0.0,0.0,15.0,0.0,3334,12.7,22.0
20000,20000, 36 months,11.47,659.24,B,B5,5 years,RENT,90000.0,Verified,Fully Paid,other,CA,17.2,1.0,1.0,16.0,0.0,3544,8.8,18.0
22750,22750, 36 months,18.24,825.21,D,D5,2 years,RENT,60000.0,Source Verified,Charged Off,debt_consolidation,CA,35.52,0.0,1.0,23.0,0.0,28477,79.8,42.0
10575,10575, 36 months,17.76,381.04,D,D1,2 years,MORTGAGE,50000.0,Verified,Charged Off,debt_consolidation,CA,27.22,0.0,0.0,10.0,0.0,4286,37.3,17.0
6000,6000, 36 months,18.25,217.67,D,D3,3 years,RENT,20000.0,Not Verified,Fully Paid,other,ND,16.33,0.0,0.0,5.0,0.0,11794,68.0,8.0
12000,12000, 36 months,16.99,427.78,D,D3,7 years,RENT,45000.0,Not Verified,Charged Off,debt_consolidation,CA,29.09,0.0,3.0,12.0,0.0,8845,53.9,18.0
15000,15000, 36 months,13.99,512.6,C,C4,10+ years,MORTGAGE,130000.0,Verified,Charged Off,credit_card,AZ,33.12,1.0,2.0,22.0,0.0,43981,66.4,32.0
19200,19200, 36 months,16.99,684.44,D,D1,2 years,RENT,183000.0,Verified,Fully Paid,credit_card,OH,27.79,0.0,0.0,18.0,0.0,67810,81.1,28.0
35000,35000, 36 months,15.31,1218.61,C,C2,10+ years,MORTGAGE,97000.0,Verified,Fully Paid,debt_consolidation,IL,25.3,0.0,3.0,14.0,0.0,30725,47.8,36.0
27350,27350, 60 months,23.99,786.65,F,F3,5 years,RENT,72000.0,Source Verified,Charged Off,debt_consolidation,TX,32.78,0.0,0.0,7.0,0.0,15222,77.3,22.0
29850,29850, 36 months,13.98,1019.92,C,C3,10+ years,MORTGAGE,114000.0,Not Verified,Fully Paid,debt_consolidation,FL,32.09,0.0,0.0,18.0,0.0,48393,54.4,37.0
30000,30000, 60 months,22.45,836.27,F,F1,8 years,MORTGAGE,150000.0,Verified,Fully Paid,debt_consolidation,NV,24.48,0.0,1.0,15.0,0.0,23948,76.5,39.0
12000,12000, 60 months,22.74,336.5,E,E1,10+ years,OWN,75000.0,Verified,Fully Paid,debt_consolidation,TX,30.21,0.0,1.0,23.0,0.0,21102,69.6,56.0
